Feature_ID,Missing_Count,Missing_Rate_pct
292,1429,91.19336311423102
293,1429,91.19336311423102
158,1429,91.19336311423102
157,1429,91.19336311423102
492,1341,85.57753669432036
85,1341,85.57753669432036
358,1341,85.57753669432036
220,1341,85.57753669432036
244,1018,64.96490108487556
517,1018,64.96490108487556
109,1018,64.96490108487556
246,1018,64.96490108487556
383,1018,64.96490108487556
382,1018,64.96490108487556
384,1018,64.96490108487556
245,1018,64.96490108487556
111,1018,64.96490108487556
110,1018,64.96490108487556
516,1018,64.96490108487556
518,1018,64.96490108487556
580,949,60.561582641991066
578,949,60.561582641991066
579,949,60.561582641991066
581,949,60.561582641991066
73,794,50.670070197830256
345,794,50.670070197830256
72,794,50.670070197830256
346,794,50.670070197830256
519,715,45.628589661774086
247,715,45.628589661774086
385,715,45.628589661774086
112,715,45.628589661774086
563,273,17.42182514358647
564,273,17.42182514358647
565,273,17.42182514358647
562,273,17.42182514358647
566,273,17.42182514358647
568,273,17.42182514358647
567,273,17.42182514358647
569,273,17.42182514358647
556,260,16.592214422463307
554,260,16.592214422463307
555,260,16.592214422463307
553,260,16.592214422463307
552,260,16.592214422463307
551,260,16.592214422463307
550,260,16.592214422463307
557,260,16.592214422463307
546,260,16.592214422463307
548,260,16.592214422463307
547,260,16.592214422463307
549,260,16.592214422463307
363,51,3.2546266751754946
362,51,3.2546266751754946
497,51,3.2546266751754946
90,51,3.2546266751754946
89,51,3.2546266751754946
225,51,3.2546266751754946
224,51,3.2546266751754946
496,51,3.2546266751754946
450,24,1.5315890236119976
41,24,1.5315890236119976
449,24,1.5315890236119976
40,24,1.5315890236119976
391,24,1.5315890236119976
351,24,1.5315890236119976
350,24,1.5315890236119976
349,24,1.5315890236119976
348,24,1.5315890236119976
217,24,1.5315890236119976
211,24,1.5315890236119976
486,24,1.5315890236119976
489,24,1.5315890236119976
487,24,1.5315890236119976
488,24,1.5315890236119976
214,24,1.5315890236119976
75,24,1.5315890236119976
77,24,1.5315890236119976
81,24,1.5315890236119976
355,24,1.5315890236119976
313,24,1.5315890236119976
